id,name,ingredients,steps,calories,macros,goal,type
1,Fruit Salad,"['Rice', 'Carrots', 'Chicken', 'Beef', 'Mixed Berries', 'Chia Seeds']","['Step 1: Grill Carrots', 'Step 2: Chop Carrots']",216,"{'protein': 12, 'carbs': 60, 'fat': 21}",['maintenance'],lunch
2,Beet Salad,"['Eggs', 'Sweet Potatoes', 'Peanut Butter']","['Step 1: Boil Peanut Butter', 'Step 2: Boil Eggs', 'Step 3: Mix Eggs']",541,"{'protein': 34, 'carbs': 56, 'fat': 13}","['maintenance', 'muscle_gain']",snack
3,Waffles,"['Mushrooms', 'Beans', 'Cheese']",['Step 1: Grill Cheese'],460,"{'protein': 15, 'carbs': 56, 'fat': 20}","['muscle_gain', 'weight_loss']",snack
4,Grilled Veggies,"['Chicken', 'Broccoli', 'Greek Yogurt', 'Lettuce', 'Rice', 'Salmon']",['Step 1: Chop Rice'],546,"{'protein': 34, 'carbs': 45, 'fat': 20}","['maintenance', 'muscle_gain', 'weight_loss']",lunch
5,Nut Butter Toast,"['Rice', 'Avocado', 'Quinoa', 'Almonds']","['Step 1: Boil Almonds', 'Step 2: Mix Quinoa', 'Step 3: Grill Avocado', 'Step 4: Cook Rice']",435,"{'protein': 18, 'carbs': 67, 'fat': 14}","['muscle_gain', 'maintenance', 'weight_loss']",dinner
6,Waffles,"['Tomatoes', 'Almonds', 'Greek Yogurt']",['Step 1: Mix Greek Yogurt'],337,"{'protein': 21, 'carbs': 43, 'fat': 25}",['maintenance'],snack
7,Pasta Primavera,"['Peanut Butter', 'Almonds', 'Carrots']","['Step 1: Mix Carrots', 'Step 2: Boil Almonds', 'Step 3: Boil Carrots']",572,"{'protein': 45, 'carbs': 58, 'fat': 6}",['maintenance'],snack
8,Chicken Satay,"['Carrots', 'Tomatoes', 'Oats', 'Bread', 'Mixed Berries']","['Step 1: Grill Carrots', 'Step 2: Boil Mixed Berries', 'Step 3: Chop Bread']",173,"{'protein': 11, 'carbs': 51, 'fat': 7}","['muscle_gain', 'maintenance']",breakfast
9,Rice and Beans,"['Cheese', 'Broccoli', 'Greek Yogurt', 'Mushrooms', 'Tomatoes']","['Step 1: Chop Greek Yogurt', 'Step 2: Cook Broccoli']",188,"{'protein': 17, 'carbs': 41, 'fat': 24}","['muscle_gain', 'weight_loss', 'maintenance']",snack
10,Poke Bowl,"['Mushrooms', 'Quinoa', 'Rice']","['Step 1: Cook Mushrooms', 'Step 2: Bake Quinoa', 'Step 3: Cook Rice']",406,"{'protein': 47, 'carbs': 46, 'fat': 13}",['weight_loss'],snack
11,Green Curry,"['Salmon', 'Rice', 'Protein Powder']","['Step 1: Mix Rice', 'Step 2: Bake Protein Powder', 'Step 3: Mix Salmon']",467,"{'protein': 42, 'carbs': 61, 'fat': 10}","['maintenance', 'weight_loss']",dinner
12,Chicken Curry,"['Bell Peppers', 'Kale', 'Oats', 'Almonds']","['Step 1: Chop Oats', 'Step 2: Chop Oats', 'Step 3: Boil Bell Peppers', 'Step 4: Grill Almonds']",400,"{'protein': 30, 'carbs': 10, 'fat': 25}","['muscle_gain', 'maintenance']",lunch
13,Chicken Wrap,"['Beef', 'Tomatoes', 'Olive Oil', 'Chicken']","['Step 1: Chop Tomatoes', 'Step 2: Chop Olive Oil', 'Step 3: Grill Chicken']",417,"{'protein': 39, 'carbs': 65, 'fat': 16}","['muscle_gain', 'weight_loss', 'maintenance']",dinner
14,Ham and Cheese Sandwich,"['Granola', 'Chicken', 'Mixed Berries', 'Peanut Butter']","['Step 1: Mix Mixed Berries', 'Step 2: Chop Peanut Butter']",188,"{'protein': 7, 'carbs': 10, 'fat': 28}","['maintenance', 'weight_loss', 'muscle_gain']",snack
15,Tomato Soup,"['Tomatoes', 'Mushrooms', 'Spinach', 'Rice']","['Step 1: Bake Spinach', 'Step 2: Cook Spinach']",261,"{'protein': 15, 'carbs': 26, 'fat': 14}","['weight_loss', 'maintenance']",dinner
16,Clam Chowder,"['Sweet Potatoes', 'Almonds', 'Olive Oil']","['Step 1: Cook Almonds', 'Step 2: Boil Sweet Potatoes', 'Step 3: Cook Sweet Potatoes', 'Step 4: Grill Almonds']",192,"{'protein': 13, 'carbs': 58, 'fat': 21}",['weight_loss'],breakfast
17,Cottage Cheese Bowl,"['Chicken', 'Almonds', 'Peanut Butter', 'Carrots', 'Beans']","['Step 1: Boil Beans', 'Step 2: Grill Peanut Butter', 'Step 3: Chop Almonds']",446,"{'protein': 40, 'carbs': 56, 'fat': 7}",['muscle_gain'],dinner
18,Avocado Smoothie,"['Oats', 'Mushrooms', 'Chia Seeds']","['Step 1: Mix Chia Seeds', 'Step 2: Bake Chia Seeds', 'Step 3: Chop Oats', 'Step 4: Chop Oats']",473,"{'protein': 8, 'carbs': 26, 'fat': 26}","['maintenance', 'muscle_gain']",dinner
19,Seafood Paella,"['Cheese', 'Almonds', 'Salmon', 'Mixed Berries', 'Peanut Butter']","['Step 1: Bake Peanut Butter', 'Step 2: Chop Salmon', 'Step 3: Cook Salmon', 'Step 4: Cook Almonds']",286,"{'protein': 29, 'carbs': 48, 'fat': 23}","['maintenance', 'muscle_gain', 'weight_loss']",lunch
20,Zucchini Noodles,"['Oats', 'Mixed Berries', 'Sweet Potatoes', 'Beans', 'Bread', 'Greek Yogurt']","['Step 1: Cook Bread', 'Step 2: Chop Oats']",297,"{'protein': 43, 'carbs': 46, 'fat': 9}",['weight_loss'],breakfast
21,Veggie Burger,"['Cheese', 'Beef', 'Mixed Berries', 'Protein Powder', 'Greek Yogurt', 'Carrots']",['Step 1: Grill Protein Powder'],530,"{'protein': 31, 'carbs': 12, 'fat': 29}","['muscle_gain', 'weight_loss']",lunch
22,Avocado Toast,"['Tofu', 'Spinach', 'Tomatoes', 'Mixed Berries']","['Step 1: Bake Tomatoes', 'Step 2: Bake Tomatoes', 'Step 3: Boil Spinach', 'Step 4: Grill Tomatoes']",466,"{'protein': 50, 'carbs': 55, 'fat': 22}",['weight_loss'],snack
23,Peach Cobbler,"['Almonds', 'Protein Powder', 'Chia Seeds', 'Granola']","['Step 1: Bake Granola', 'Step 2: Boil Protein Powder', 'Step 3: Chop Granola']",360,"{'protein': 36, 'carbs': 54, 'fat': 24}","['maintenance', 'muscle_gain']",lunch
24,Radish Soup,"['Tomatoes', 'Kale', 'Chia Seeds', 'Eggs']","['Step 1: Cook Eggs', 'Step 2: Mix Tomatoes', 'Step 3: Bake Eggs', 'Step 4: Bake Eggs']",178,"{'protein': 21, 'carbs': 28, 'fat': 6}","['muscle_gain', 'maintenance']",breakfast
25,Cucumber Sandwiches,"['Cheese', 'Protein Powder', 'Oats']","['Step 1: Cook Protein Powder', 'Step 2: Cook Cheese', 'Step 3: Cook Cheese']",252,"{'protein': 37, 'carbs': 47, 'fat': 28}","['weight_loss', 'maintenance', 'muscle_gain']",dinner
26,Carrot Ginger Soup,"['Sweet Potatoes', 'Rice', 'Greek Yogurt', 'Bell Peppers']","['Step 1: Grill Greek Yogurt', 'Step 2: Cook Bell Peppers', 'Step 3: Cook Rice', 'Step 4: Bake Rice']",589,"{'protein': 16, 'carbs': 54, 'fat': 19}","['weight_loss', 'maintenance', 'muscle_gain']",snack
27,Peanut Butter Banana Wrap,"['Chia Seeds', 'Mushrooms', 'Bread', 'Olive Oil', 'Peanut Butter', 'Mixed Berries']","['Step 1: Mix Bread', 'Step 2: Chop Olive Oil', 'Step 3: Cook Chia Seeds', 'Step 4: Cook Peanut Butter']",246,"{'protein': 10, 'carbs': 49, 'fat': 27}","['maintenance', 'weight_loss']",breakfast
28,Rice and Beans,"['Protein Powder', 'Lettuce', 'Tofu']","['Step 1: Chop Tofu', 'Step 2: Cook Protein Powder', 'Step 3: Bake Tofu', 'Step 4: Bake Lettuce']",523,"{'protein': 7, 'carbs': 52, 'fat': 6}","['muscle_gain', 'maintenance']",breakfast
29,Tuna Salad,"['Kale', 'Beef', 'Almonds']",['Step 1: Boil Kale'],573,"{'protein': 41, 'carbs': 20, 'fat': 19}","['weight_loss', 'maintenance']",snack
30,Cucumber Sandwiches,"['Greek Yogurt', 'Mixed Berries', 'Cheese']","['Step 1: Mix Greek Yogurt', 'Step 2: Grill Cheese']",290,"{'protein': 43, 'carbs': 65, 'fat': 30}","['maintenance', 'weight_loss', 'muscle_gain']",dinner
31,Avocado Toast,"['Broccoli', 'Spinach', 'Tofu']","['Step 1: Chop Spinach', 'Step 2: Boil Broccoli', 'Step 3: Mix Broccoli', 'Step 4: Cook Tofu']",341,"{'protein': 24, 'carbs': 51, 'fat': 20}",['muscle_gain'],snack
32,Spinach Quiche,"['Olive Oil', 'Rice', 'Tomatoes', 'Beef', 'Kale', 'Almonds']",['Step 1: Chop Olive Oil'],328,"{'protein': 49, 'carbs': 47, 'fat': 21}",['weight_loss'],snack
33,Veggie Pizza,"['Protein Powder', 'Bell Peppers', 'Mixed Berries', 'Olive Oil', 'Beef']","['Step 1: Mix Mixed Berries', 'Step 2: Mix Mixed Berries']",579,"{'protein': 50, 'carbs': 56, 'fat': 12}","['muscle_gain', 'maintenance']",snack
34,Chili Lime Shrimp,"['Beef', 'Olive Oil', 'Oats', 'Tomatoes', 'Cheese']","['Step 1: Boil Tomatoes', 'Step 2: Boil Tomatoes', 'Step 3: Chop Olive Oil']",159,"{'protein': 46, 'carbs': 67, 'fat': 8}","['weight_loss', 'maintenance', 'muscle_gain']",breakfast
35,Pasta Primavera,"['Mushrooms', 'Kale', 'Peanut Butter', 'Granola', 'Salmon']","['Step 1: Grill Salmon', 'Step 2: Cook Kale', 'Step 3: Boil Peanut Butter', 'Step 4: Chop Granola']",209,"{'protein': 29, 'carbs': 24, 'fat': 11}",['muscle_gain'],snack
36,Chili Lime Shrimp,"['Kale', 'Bread', 'Beans']",['Step 1: Boil Beans'],570,"{'protein': 30, 'carbs': 22, 'fat': 12}","['muscle_gain', 'weight_loss', 'maintenance']",lunch
37,Cucumber Sandwiches,"['Spinach', 'Tomatoes', 'Mushrooms']","['Step 1: Chop Tomatoes', 'Step 2: Grill Tomatoes', 'Step 3: Boil Spinach', 'Step 4: Grill Mushrooms']",273,"{'protein': 44, 'carbs': 42, 'fat': 11}","['muscle_gain', 'weight_loss']",breakfast
38,Peach Cobbler,"['Broccoli', 'Carrots', 'Lettuce']","['Step 1: Cook Broccoli', 'Step 2: Bake Lettuce', 'Step 3: Chop Carrots', 'Step 4: Chop Carrots']",407,"{'protein': 17, 'carbs': 37, 'fat': 10}","['weight_loss', 'maintenance']",snack
39,Grilled Lobster,"['Broccoli', 'Avocado', 'Spinach', 'Eggs']","['Step 1: Cook Spinach', 'Step 2: Cook Broccoli', 'Step 3: Mix Avocado', 'Step 4: Boil Spinach']",589,"{'protein': 11, 'carbs': 45, 'fat': 13}",['maintenance'],snack
40,Veggie Pizza,"['Peanut Butter', 'Granola', 'Rice', 'Broccoli', 'Eggs', 'Cheese']",['Step 1: Chop Eggs'],511,"{'protein': 34, 'carbs': 44, 'fat': 29}",['maintenance'],snack
41,Egg Salad,"['Chia Seeds', 'Salmon', 'Cheese', 'Tofu']","['Step 1: Mix Chia Seeds', 'Step 2: Bake Tofu', 'Step 3: Chop Cheese', 'Step 4: Mix Cheese']",591,"{'protein': 35, 'carbs': 45, 'fat': 25}",['muscle_gain'],snack
42,Chicken Wrap,"['Salmon', 'Tofu', 'Lettuce', 'Avocado']","['Step 1: Chop Salmon', 'Step 2: Chop Tofu', 'Step 3: Cook Tofu']",319,"{'protein': 21, 'carbs': 62, 'fat': 9}",['weight_loss'],snack
43,Chicken Fajitas,"['Carrots', 'Bread', 'Granola', 'Olive Oil', 'Beans', 'Rice']","['Step 1: Chop Beans', 'Step 2: Cook Granola', 'Step 3: Chop Beans']",479,"{'protein': 42, 'carbs': 13, 'fat': 25}","['muscle_gain', 'weight_loss']",breakfast
44,Chicken Satay,"['Broccoli', 'Rice', 'Oats', 'Peanut Butter', 'Chia Seeds', 'Granola']",['Step 1: Boil Chia Seeds'],172,"{'protein': 13, 'carbs': 49, 'fat': 18}",['weight_loss'],snack
45,Lamb Chops,"['Salmon', 'Bell Peppers', 'Mixed Berries', 'Beef', 'Broccoli', 'Peanut Butter']","['Step 1: Bake Bell Peppers', 'Step 2: Boil Mixed Berries']",266,"{'protein': 48, 'carbs': 47, 'fat': 12}",['muscle_gain'],lunch
46,Fish and Chips,"['Chicken', 'Mixed Berries', 'Kale']","['Step 1: Boil Chicken', 'Step 2: Grill Chicken']",459,"{'protein': 20, 'carbs': 58, 'fat': 27}","['muscle_gain', 'maintenance']",dinner
47,Grilled Veggies,"['Olive Oil', 'Rice', 'Mushrooms', 'Chia Seeds', 'Protein Powder', 'Almonds']","['Step 1: Bake Rice', 'Step 2: Boil Rice', 'Step 3: Grill Mushrooms', 'Step 4: Chop Almonds']",545,"{'protein': 6, 'carbs': 24, 'fat': 21}",['weight_loss'],dinner
48,Gnocchi,"['Rice', 'Salmon', 'Lettuce', 'Broccoli', 'Quinoa', 'Tofu']","['Step 1: Chop Tofu', 'Step 2: Chop Quinoa', 'Step 3: Mix Rice']",291,"{'protein': 20, 'carbs': 17, 'fat': 11}","['maintenance', 'weight_loss', 'muscle_gain']",lunch
49,Turkey Sandwich,"['Peanut Butter', 'Chicken', 'Lettuce', 'Bread', 'Chia Seeds', 'Kale']","['Step 1: Boil Lettuce', 'Step 2: Cook Chicken']",260,"{'protein': 10, 'carbs': 63, 'fat': 19}",['maintenance'],dinner
50,Sweet Potato Fries,"['Chia Seeds', 'Mushrooms', 'Eggs', 'Bread', 'Tofu']","['Step 1: Mix Mushrooms', 'Step 2: Chop Bread']",320,"{'protein': 30, 'carbs': 15, 'fat': 26}","['maintenance', 'weight_loss']",breakfast
51,Zucchini Noodles,"['Greek Yogurt', 'Sweet Potatoes', 'Almonds', 'Lettuce']","['Step 1: Cook Greek Yogurt', 'Step 2: Mix Sweet Potatoes', 'Step 3: Chop Almonds']",588,"{'protein': 31, 'carbs': 47, 'fat': 6}","['muscle_gain', 'weight_loss']",breakfast
52,Cucumber Sandwiches,"['Sweet Potatoes', 'Chia Seeds', 'Cheese', 'Olive Oil']","['Step 1: Boil Cheese', 'Step 2: Boil Cheese']",585,"{'protein': 18, 'carbs': 28, 'fat': 16}","['maintenance', 'muscle_gain']",snack
53,Lentil Soup,"['Avocado', 'Greek Yogurt', 'Protein Powder']","['Step 1: Grill Protein Powder', 'Step 2: Chop Avocado', 'Step 3: Chop Greek Yogurt']",408,"{'protein': 25, 'carbs': 48, 'fat': 9}",['muscle_gain'],lunch
54,Lamb Chops,"['Beef', 'Avocado', 'Mixed Berries']",['Step 1: Chop Mixed Berries'],467,"{'protein': 49, 'carbs': 51, 'fat': 16}","['weight_loss', 'muscle_gain']",breakfast
55,Greek Yogurt Parfait,"['Tomatoes', 'Mushrooms', 'Tofu', 'Bread']","['Step 1: Boil Mushrooms', 'Step 2: Bake Bread']",354,"{'protein': 32, 'carbs': 43, 'fat': 19}",['muscle_gain'],breakfast
56,Rice and Beans,"['Kale', 'Almonds', 'Bell Peppers']","['Step 1: Boil Bell Peppers', 'Step 2: Chop Almonds', 'Step 3: Mix Bell Peppers']",587,"{'protein': 39, 'carbs': 15, 'fat': 22}","['maintenance', 'weight_loss', 'muscle_gain']",dinner
57,Green Curry,"['Oats', 'Beans', 'Carrots', 'Granola', 'Salmon', 'Bread']",['Step 1: Chop Beans'],280,"{'protein': 6, 'carbs': 17, 'fat': 12}",['weight_loss'],dinner
58,Chili Lime Shrimp,"['Rice', 'Bell Peppers', 'Cheese', 'Eggs']","['Step 1: Boil Bell Peppers', 'Step 2: Bake Cheese', 'Step 3: Boil Cheese', 'Step 4: Grill Rice']",236,"{'protein': 30, 'carbs': 12, 'fat': 17}","['weight_loss', 'maintenance']",breakfast
59,Tomato Soup,"['Rice', 'Beef', 'Broccoli', 'Protein Powder', 'Carrots']",['Step 1: Cook Beef'],335,"{'protein': 39, 'carbs': 40, 'fat': 12}",['weight_loss'],snack
60,Chocolate Protein Shake,"['Beans', 'Oats', 'Spinach', 'Lettuce']","['Step 1: Boil Lettuce', 'Step 2: Boil Oats', 'Step 3: Mix Lettuce']",567,"{'protein': 12, 'carbs': 26, 'fat': 6}",['muscle_gain'],breakfast
61,Tofu Stir-Fry,"['Cheese', 'Greek Yogurt', 'Granola', 'Avocado']","['Step 1: Mix Granola', 'Step 2: Cook Granola']",575,"{'protein': 14, 'carbs': 49, 'fat': 16}",['muscle_gain'],dinner
62,Nut Butter Toast,"['Avocado', 'Broccoli', 'Beef', 'Eggs', 'Spinach']","['Step 1: Mix Eggs', 'Step 2: Mix Broccoli', 'Step 3: Bake Spinach']",466,"{'protein': 18, 'carbs': 18, 'fat': 7}","['maintenance', 'muscle_gain', 'weight_loss']",snack
63,Chicken Meatballs,"['Salmon', 'Almonds', 'Granola']","['Step 1: Boil Granola', 'Step 2: Boil Salmon']",290,"{'protein': 20, 'carbs': 15, 'fat': 18}","['maintenance', 'weight_loss', 'muscle_gain']",breakfast
64,Omelette,"['Broccoli', 'Eggs', 'Tomatoes', 'Bread']","['Step 1: Cook Tomatoes', 'Step 2: Cook Bread']",511,"{'protein': 40, 'carbs': 42, 'fat': 11}","['weight_loss', 'maintenance']",breakfast
65,Chicken Satay,"['Beef', 'Tofu', 'Peanut Butter', 'Salmon', 'Olive Oil', 'Beans']",['Step 1: Cook Tofu'],471,"{'protein': 19, 'carbs': 46, 'fat': 25}","['muscle_gain', 'weight_loss', 'maintenance']",dinner
66,Pumpkin Soup,"['Sweet Potatoes', 'Peanut Butter', 'Broccoli', 'Tofu', 'Olive Oil', 'Mushrooms']",['Step 1: Grill Olive Oil'],226,"{'protein': 30, 'carbs': 50, 'fat': 5}","['weight_loss', 'maintenance']",breakfast
67,Nut Butter Toast,"['Lettuce', 'Beans', 'Kale', 'Quinoa', 'Oats', 'Rice']","['Step 1: Cook Kale', 'Step 2: Grill Rice', 'Step 3: Grill Lettuce', 'Step 4: Boil Kale']",269,"{'protein': 10, 'carbs': 29, 'fat': 6}","['weight_loss', 'muscle_gain']",breakfast
68,Chicken Satay,"['Peanut Butter', 'Chia Seeds', 'Mushrooms', 'Avocado', 'Lettuce', 'Salmon']","['Step 1: Grill Peanut Butter', 'Step 2: Mix Mushrooms', 'Step 3: Bake Lettuce']",452,"{'protein': 36, 'carbs': 64, 'fat': 18}","['weight_loss', 'maintenance']",lunch
69,Chia Pudding,"['Sweet Potatoes', 'Greek Yogurt', 'Olive Oil', 'Almonds']","['Step 1: Cook Olive Oil', 'Step 2: Boil Almonds', 'Step 3: Grill Olive Oil', 'Step 4: Mix Olive Oil']",517,"{'protein': 22, 'carbs': 23, 'fat': 8}","['weight_loss', 'muscle_gain', 'maintenance']",breakfast
70,Baked Tofu,"['Lettuce', 'Peanut Butter', 'Beef', 'Broccoli']","['Step 1: Mix Broccoli', 'Step 2: Cook Broccoli']",310,"{'protein': 27, 'carbs': 33, 'fat': 30}",['weight_loss'],dinner
71,Chicken Satay,"['Chia Seeds', 'Chicken', 'Avocado']","['Step 1: Grill Avocado', 'Step 2: Chop Chia Seeds']",427,"{'protein': 46, 'carbs': 42, 'fat': 19}","['maintenance', 'muscle_gain', 'weight_loss']",breakfast
72,Protein Pancakes,"['Lettuce', 'Cheese', 'Beans', 'Spinach', 'Mixed Berries', 'Sweet Potatoes']","['Step 1: Boil Sweet Potatoes', 'Step 2: Mix Sweet Potatoes']",503,"{'protein': 42, 'carbs': 30, 'fat': 18}",['maintenance'],lunch
73,Almond Energy Balls,"['Tomatoes', 'Chicken', 'Almonds', 'Beef', 'Quinoa']","['Step 1: Grill Beef', 'Step 2: Chop Tomatoes']",390,"{'protein': 15, 'carbs': 25, 'fat': 22}",['muscle_gain'],lunch
74,Chocolate Protein Shake,"['Chicken', 'Avocado', 'Greek Yogurt', 'Quinoa', 'Rice', 'Eggs']","['Step 1: Chop Greek Yogurt', 'Step 2: Mix Avocado', 'Step 3: Mix Quinoa']",376,"{'protein': 18, 'carbs': 53, 'fat': 23}","['muscle_gain', 'maintenance', 'weight_loss']",breakfast
75,Cabbage Soup,"['Avocado', 'Beans', 'Salmon', 'Bread', 'Cheese', 'Mixed Berries']","['Step 1: Cook Avocado', 'Step 2: Mix Cheese', 'Step 3: Boil Mixed Berries']",382,"{'protein': 17, 'carbs': 20, 'fat': 23}",['maintenance'],snack
76,Avocado Smoothie,"['Rice', 'Cheese', 'Bell Peppers', 'Salmon']","['Step 1: Chop Salmon', 'Step 2: Bake Cheese', 'Step 3: Cook Salmon', 'Step 4: Cook Cheese']",483,"{'protein': 24, 'carbs': 15, 'fat': 20}","['maintenance', 'weight_loss', 'muscle_gain']",lunch
77,Avocado Toast,"['Greek Yogurt', 'Avocado', 'Cheese']",['Step 1: Grill Cheese'],197,"{'protein': 27, 'carbs': 40, 'fat': 28}","['muscle_gain', 'weight_loss']",snack
78,Baked Tofu,"['Tomatoes', 'Kale', 'Almonds', 'Mushrooms']","['Step 1: Chop Tomatoes', 'Step 2: Cook Almonds', 'Step 3: Boil Mushrooms', 'Step 4: Boil Mushrooms']",150,"{'protein': 50, 'carbs': 25, 'fat': 18}","['maintenance', 'muscle_gain']",breakfast
79,Beet Salad,"['Rice', 'Sweet Potatoes', 'Broccoli', 'Lettuce', 'Olive Oil', 'Chicken']","['Step 1: Boil Olive Oil', 'Step 2: Mix Lettuce', 'Step 3: Bake Sweet Potatoes', 'Step 4: Chop Olive Oil']",237,"{'protein': 23, 'carbs': 24, 'fat': 5}",['weight_loss'],dinner
80,Berry Smoothie,"['Peanut Butter', 'Salmon', 'Granola']","['Step 1: Boil Peanut Butter', 'Step 2: Boil Peanut Butter', 'Step 3: Bake Granola']",181,"{'protein': 32, 'carbs': 53, 'fat': 19}","['muscle_gain', 'weight_loss']",dinner
81,Tuna Salad,"['Bread', 'Broccoli', 'Granola', 'Greek Yogurt', 'Tomatoes']","['Step 1: Chop Greek Yogurt', 'Step 2: Mix Greek Yogurt', 'Step 3: Boil Granola', 'Step 4: Cook Tomatoes']",548,"{'protein': 47, 'carbs': 25, 'fat': 6}","['maintenance', 'muscle_gain', 'weight_loss']",dinner
82,Ham and Cheese Sandwich,"['Rice', 'Eggs', 'Greek Yogurt', 'Broccoli', 'Beef']","['Step 1: Cook Greek Yogurt', 'Step 2: Chop Beef', 'Step 3: Bake Eggs']",498,"{'protein': 22, 'carbs': 37, 'fat': 16}",['maintenance'],breakfast
83,Cottage Cheese Bowl,"['Bell Peppers', 'Protein Powder', 'Rice', 'Mixed Berries', 'Chia Seeds']","['Step 1: Cook Chia Seeds', 'Step 2: Grill Chia Seeds']",207,"{'protein': 5, 'carbs': 37, 'fat': 29}","['muscle_gain', 'maintenance', 'weight_loss']",breakfast
84,Fish and Chips,"['Almonds', 'Bread', 'Lettuce', 'Peanut Butter', 'Tomatoes']","['Step 1: Chop Bread', 'Step 2: Mix Tomatoes', 'Step 3: Cook Tomatoes', 'Step 4: Boil Lettuce']",480,"{'protein': 15, 'carbs': 56, 'fat': 5}","['muscle_gain', 'maintenance', 'weight_loss']",snack
85,Steak and Veggies,"['Protein Powder', 'Carrots', 'Salmon', 'Chia Seeds']",['Step 1: Cook Salmon'],545,"{'protein': 6, 'carbs': 48, 'fat': 7}","['muscle_gain', 'weight_loss', 'maintenance']",breakfast
86,Green Curry,"['Peanut Butter', 'Eggs', 'Bell Peppers', 'Bread', 'Tofu']","['Step 1: Grill Bread', 'Step 2: Boil Eggs']",243,"{'protein': 27, 'carbs': 26, 'fat': 21}","['muscle_gain', 'weight_loss']",snack
87,Chicken Curry,"['Tofu', 'Quinoa', 'Beef', 'Beans']","['Step 1: Bake Beef', 'Step 2: Cook Quinoa', 'Step 3: Mix Beef', 'Step 4: Cook Beef']",405,"{'protein': 44, 'carbs': 26, 'fat': 30}","['weight_loss', 'muscle_gain', 'maintenance']",lunch
88,Radish Soup,"['Chicken', 'Almonds', 'Olive Oil', 'Quinoa']","['Step 1: Grill Chicken', 'Step 2: Bake Olive Oil', 'Step 3: Mix Chicken']",150,"{'protein': 13, 'carbs': 68, 'fat': 23}","['muscle_gain', 'weight_loss']",breakfast
89,Peanut Butter Banana Wrap,"['Granola', 'Eggs', 'Cheese', 'Broccoli']",['Step 1: Cook Granola'],200,"{'protein': 43, 'carbs': 40, 'fat': 24}",['muscle_gain'],lunch
90,Seafood Paella,"['Beef', 'Broccoli', 'Oats']",['Step 1: Boil Oats'],211,"{'protein': 43, 'carbs': 43, 'fat': 11}","['maintenance', 'muscle_gain']",lunch
91,Zucchini Bread,"['Sweet Potatoes', 'Rice', 'Greek Yogurt', 'Eggs', 'Olive Oil']","['Step 1: Mix Greek Yogurt', 'Step 2: Grill Sweet Potatoes']",255,"{'protein': 5, 'carbs': 49, 'fat': 15}","['muscle_gain', 'maintenance']",lunch
92,Poke Bowl,"['Kale', 'Eggs', 'Olive Oil', 'Rice', 'Bread', 'Mixed Berries']","['Step 1: Grill Kale', 'Step 2: Grill Kale', 'Step 3: Mix Bread', 'Step 4: Chop Kale']",582,"{'protein': 19, 'carbs': 31, 'fat': 5}","['weight_loss', 'muscle_gain', 'maintenance']",breakfast
93,Spinach Quiche,"['Quinoa', 'Tomatoes', 'Peanut Butter', 'Granola', 'Beans']","['Step 1: Grill Granola', 'Step 2: Grill Granola']",177,"{'protein': 36, 'carbs': 60, 'fat': 25}","['maintenance', 'weight_loss']",dinner
94,Shepherd's Pie,"['Greek Yogurt', 'Tomatoes', 'Oats']",['Step 1: Chop Oats'],570,"{'protein': 44, 'carbs': 11, 'fat': 26}","['maintenance', 'muscle_gain', 'weight_loss']",dinner
95,Mushroom Risotto,"['Cheese', 'Spinach', 'Peanut Butter', 'Olive Oil', 'Rice']","['Step 1: Cook Cheese', 'Step 2: Boil Cheese', 'Step 3: Grill Olive Oil', 'Step 4: Grill Peanut Butter']",248,"{'protein': 27, 'carbs': 27, 'fat': 26}","['weight_loss', 'maintenance']",dinner
96,Chicken Curry,"['Protein Powder', 'Rice', 'Cheese', 'Olive Oil']","['Step 1: Chop Cheese', 'Step 2: Boil Protein Powder']",393,"{'protein': 44, 'carbs': 45, 'fat': 16}",['weight_loss'],breakfast
97,French Toast,"['Salmon', 'Tomatoes', 'Chia Seeds', 'Sweet Potatoes', 'Beans', 'Olive Oil']",['Step 1: Grill Olive Oil'],241,"{'protein': 40, 'carbs': 30, 'fat': 25}","['muscle_gain', 'maintenance']",breakfast
98,Omelette,"['Beef', 'Lettuce', 'Avocado']",['Step 1: Grill Lettuce'],568,"{'protein': 13, 'carbs': 45, 'fat': 28}",['maintenance'],lunch
99,Beef Tacos,"['Chicken', 'Cheese', 'Almonds', 'Granola', 'Carrots']","['Step 1: Mix Cheese', 'Step 2: Mix Chicken']",178,"{'protein': 28, 'carbs': 13, 'fat': 7}",['weight_loss'],dinner
100,Grilled Veggies,"['Sweet Potatoes', 'Almonds', 'Greek Yogurt', 'Avocado', 'Quinoa']","['Step 1: Boil Greek Yogurt', 'Step 2: Cook Quinoa']",285,"{'protein': 43, 'carbs': 20, 'fat': 20}",['muscle_gain'],breakfast
